======================================================================
  LHQA BATCH SUMMARY — 111 lessons evaluated
  2026-02-11 19:55:30
======================================================================

  VERDICTS:
    [PASS] CERTIFIED: 3
    [WARN] NEEDS_WORK: 45
    [FAIL] FAILED: 63

  TOTAL CHECKS: 8082
    Passed:  7862
    Failed:  220
    Pending: 0

  TOP FAILURES:
     88x  3.2 Age-appropriate language
     64x  4.4 Active learning ratio >= 60%
     63x  5.11 Model answers correct
      5x  5.12 No duplicate questions

  PER-LESSON:
    [FAIL] V-M1-L01: 71/73 (2 fail, 0 pending)
    [FAIL] V-M5-L01: 71/73 (2 fail, 0 pending)
    [FAIL] V-M5-L02: 71/73 (2 fail, 0 pending)
    [FAIL] V-M5-L03: 70/73 (3 fail, 0 pending)
    [FAIL] V-M5-L04: 70/73 (3 fail, 0 pending)
    [FAIL] V-M5-L05: 70/73 (3 fail, 0 pending)
    [FAIL] V-M5-L06: 70/73 (3 fail, 0 pending)
    [FAIL] V-M5-L07: 70/73 (3 fail, 0 pending)
    [FAIL] V-M5-L08: 71/73 (2 fail, 0 pending)
    [FAIL] VI-M1-L01: 71/73 (2 fail, 0 pending)
    [WARN] VI-M1-L02: 72/73 (1 fail, 0 pending)
    [WARN] VI-M1-L03: 71/73 (2 fail, 0 pending)
    [FAIL] VI-M1-L04: 71/73 (2 fail, 0 pending)
    [WARN] VI-M1-L05: 71/73 (2 fail, 0 pending)
    [WARN] VI-M1-L06: 72/73 (1 fail, 0 pending)
    [FAIL] VI-M1-L07: 70/73 (3 fail, 0 pending)
    [FAIL] VI-M2-L01: 71/73 (2 fail, 0 pending)
    [FAIL] VI-M2-L02: 71/73 (2 fail, 0 pending)
    [FAIL] VI-M2-L03: 70/73 (3 fail, 0 pending)
    [FAIL] VI-M2-L04: 70/73 (3 fail, 0 pending)
    [FAIL] VI-M2-L05: 70/73 (3 fail, 0 pending)
    [WARN] VI-M2-L06: 72/73 (1 fail, 0 pending)
    [FAIL] VI-M2-L07: 70/73 (3 fail, 0 pending)
    [FAIL] VI-M3-L01: 71/73 (2 fail, 0 pending)
    [WARN] VI-M3-L02: 71/73 (2 fail, 0 pending)
    [FAIL] VI-M3-L03: 70/73 (3 fail, 0 pending)
    [WARN] VI-M3-L04: 72/73 (1 fail, 0 pending)
    [WARN] VI-M3-L05: 71/73 (2 fail, 0 pending)
    [WARN] VI-M3-L06: 71/73 (2 fail, 0 pending)
    [WARN] VI-M3-L07: 72/73 (1 fail, 0 pending)
    [FAIL] VI-M4-L01: 71/73 (2 fail, 0 pending)
    [WARN] VI-M4-L02: 72/73 (1 fail, 0 pending)
    [FAIL] VI-M4-L03: 70/73 (3 fail, 0 pending)
    [WARN] VI-M4-L04: 71/73 (2 fail, 0 pending)
    [WARN] VI-M4-L05: 71/73 (2 fail, 0 pending)
    [WARN] VI-M4-L06: 71/73 (2 fail, 0 pending)
    [FAIL] VI-M4-L07: 71/73 (2 fail, 0 pending)
    [FAIL] VI-M5-L01: 71/73 (2 fail, 0 pending)
    [FAIL] VI-M5-L02: 70/73 (3 fail, 0 pending)
    [FAIL] VI-M5-L03: 70/73 (3 fail, 0 pending)
    [FAIL] VI-M5-L04: 70/73 (3 fail, 0 pending)
    [FAIL] VI-M5-L05: 70/73 (3 fail, 0 pending)
    [FAIL] VI-M5-L06: 70/73 (3 fail, 0 pending)
    [FAIL] VI-M5-L07: 71/73 (2 fail, 0 pending)
    [FAIL] VI-M5-L08: 70/73 (3 fail, 0 pending)
    [FAIL] VII-M1-L01: 72/73 (1 fail, 0 pending)
    [WARN] VII-M1-L02: 71/73 (2 fail, 0 pending)
    [WARN] VII-M1-L03: 72/73 (1 fail, 0 pending)
    [FAIL] VII-M1-L04: 70/73 (3 fail, 0 pending)
    [FAIL] VII-M1-L05: 70/73 (3 fail, 0 pending)
    [WARN] VII-M1-L06: 71/73 (2 fail, 0 pending)
    [WARN] VII-M1-L07: 72/73 (1 fail, 0 pending)
    [FAIL] VII-M2-L01: 72/73 (1 fail, 0 pending)
    [WARN] VII-M2-L02: 72/73 (1 fail, 0 pending)
    [WARN] VII-M2-L03: 71/73 (2 fail, 0 pending)
    [WARN] VII-M2-L04: 72/73 (1 fail, 0 pending)
    [FAIL] VII-M2-L05: 70/73 (3 fail, 0 pending)
    [FAIL] VII-M2-L06: 70/73 (3 fail, 0 pending)
    [WARN] VII-M2-L07: 71/73 (2 fail, 0 pending)
    [FAIL] VII-M3-L01: 71/73 (2 fail, 0 pending)
    [FAIL] VII-M3-L02: 71/73 (2 fail, 0 pending)
    [FAIL] VII-M3-L03: 71/73 (2 fail, 0 pending)
    [FAIL] VII-M3-L04: 71/73 (2 fail, 0 pending)
    [WARN] VII-M3-L05: 71/73 (2 fail, 0 pending)
    [WARN] VII-M3-L06: 72/73 (1 fail, 0 pending)
    [WARN] VII-M3-L07: 71/73 (2 fail, 0 pending)
    [FAIL] VII-M4-L01: 71/73 (2 fail, 0 pending)
    [WARN] VII-M4-L02: 72/73 (1 fail, 0 pending)
    [FAIL] VII-M4-L03: 70/73 (3 fail, 0 pending)
    [FAIL] VII-M4-L04: 70/73 (3 fail, 0 pending)
    [WARN] VII-M4-L05: 71/73 (2 fail, 0 pending)
    [FAIL] VII-M4-L06: 70/73 (3 fail, 0 pending)
    [PASS] VII-M4-L07: 73/73 (0 fail, 0 pending)
    [FAIL] VII-M5-L01: 71/73 (2 fail, 0 pending)
    [WARN] VII-M5-L02: 71/73 (2 fail, 0 pending)
    [WARN] VII-M5-L03: 72/73 (1 fail, 0 pending)
    [WARN] VII-M5-L04: 71/73 (2 fail, 0 pending)
    [WARN] VII-M5-L05: 72/73 (1 fail, 0 pending)
    [WARN] VII-M5-L06: 72/73 (1 fail, 0 pending)
    [WARN] VII-M5-L07: 71/73 (2 fail, 0 pending)
    [WARN] VII-M5-L08: 71/73 (2 fail, 0 pending)
    [FAIL] VIII-M1-L01: 65/66 (1 fail, 0 pending)
    [FAIL] VIII-M4-L01: 65/66 (1 fail, 0 pending)
    [FAIL] VIII-M5-L01: 64/66 (2 fail, 0 pending)

======================================================================
